Rk	Player	Pos	G	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	PTS	Season
20	Trevor Ariza\\arizatr01	SF	67	268	651	0.412	170	462	0.368	98	189	0.519	0.542	782	2018
21	Darrell Arthur\\arthuda01	PF	19	22	47	0.468	8	23	0.348	14	24	0.583	0.553	54	2018
22	Jamel Artis\\artisja01	SG	15	31	79	0.392	8	29	0.276	23	50	0.46	0.443	77	2018
23	Omer Asik\\asikom01	C	18	9	22	0.409	0	0		9	22	0.409	0.409	22	2018
23	Omer Asik\\asikom01	C	14	7	16	0.438	0	0		7	16	0.438	0.438	18	2018
23	Omer Asik\\asikom01	C	4	2	6	0.333	0	0		2	6	0.333	0.333	4	2018
24	D.J. Augustin\\augusdj01	PG	75	244	540	0.452	114	272	0.419	130	268	0.485	0.557	766	2018
25	Luke Babbitt\\babbilu01	SF	50	91	215	0.423	60	156	0.385	31	59	0.525	0.563	259	2018
25	Luke Babbitt\\babbilu01	SF	37	80	168	0.476	49	111	0.441	31	57	0.544	0.622	226	2018
25	Luke Babbitt\\babbilu01	SF	13	11	47	0.234	11	45	0.244	0	2	0	0.351	33	2018
26	Dwayne Bacon\\bacondw01	SG	53	72	192	0.375	11	43	0.256	61	149	0.409	0.404	175	2018
